URL,Title,Content
https://en.wikipedia.org/wiki/Family_tree_of_British_monarchs,Family tree of British monarchs - Wikipedia,"The following is a simplified family tree of the English, Scottish, and British monarchs. For a more detailed chart see: Family tree of English monarchs (from Alfred the Great through Queen Elizabeth I); Family tree of Scottish monarchs (from Kenneth MacAlpin through James VI and I); Family tree of Welsh monarchs; and the Family tree of the British royal family for the period from Elizabeth I's successor, James VI and I, until the present day. For kings before Alfred, see House of Wessex family tree.
"
https://en.wikipedia.org/wiki/Family_tree_of_English_monarchs,Family tree of English monarchs - Wikipedia,"This is the family tree for monarchs of England (and Wales after 1282) from Alfred the Great to Elizabeth I of England. The House of Wessex family tree precedes this family tree and the family tree of the British royal family follows it.
"
https://en.wikipedia.org/wiki/Alfred_the_Great,Alfred the Great - Wikipedia,"
"
https://en.wikipedia.org/wiki/Elizabeth_I_of_England,Elizabeth I - Wikipedia,
https://en.wikipedia.org/wiki/Family_tree_of_Scottish_monarchs,Family tree of Scottish monarchs - Wikipedia,"This is a family tree for the kings of Scotland, since the unification under the House of Alpin in 834, to the personal union with England in 1603  under James VI of Scotland. It includes also the Houses of Dunkeld, Balliol, Bruce, and Stewart.
"
https://en.wikipedia.org/wiki/Kenneth_MacAlpin,Kenneth MacAlpin - Wikipedia,"
"
https://en.wikipedia.org/wiki/James_VI_and_I,James VI and I - Wikipedia,
https://en.wikipedia.org/wiki/Family_tree_of_Welsh_monarchs,Family tree of Welsh monarchs - Wikipedia,"Family trees of the kings of Gwynedd, Deheubarth and 
Powys and some of their more prominent relatives and heirs. The early generations of these genealogies are traditional and their historical accuracy is debated by scholars.
"
https://en.wikipedia.org/wiki/Family_tree_of_the_British_royal_family,Family tree of the British royal family - Wikipedia,"This is the family tree of the British royal family, from James VI and I (who united the crowns of England and Scotland) to the present monarch, Elizabeth II.
"
https://en.wikipedia.org/wiki/James_VI_and_I,James VI and I - Wikipedia,
https://en.wikipedia.org/wiki/House_of_Wessex_family_tree,List of monarchs of Wessex - Wikipedia,"
"
https://en.wikipedia.org/wiki/Alp%C3%ADn_mac_Echdach,Alpín mac Echdach - Wikipedia,"
"
https://en.wikipedia.org/wiki/House_of_Alpin,House of Alpin - Wikipedia,"
"
https://en.wikipedia.org/wiki/Domnall_mac_Ailp%C3%ADn,Domnall mac Ailpín - Wikipedia,"
"
https://en.wikipedia.org/wiki/Kenneth_MacAlpin,Kenneth MacAlpin - Wikipedia,"
"
https://en.wikipedia.org/wiki/House_of_Wessex,House of Wessex - Wikipedia,"The House of Wessex, also known as the Cerdicings and the West Saxon dynasty, refers to the family, traditionally founded by Cerdic, that ruled Wessex in Southern England from the early 6th century. The house became dominant in southern England after the accession of King Ecgberht in 802. Alfred the Great saved England from Viking conquest in the late ninth century and his grandson Æthelstan became first king of England in 927. The disastrous reign of Æthelred the Unready ended in Danish conquest in 1014. Æthelred and his son Edmund Ironside attempted to resist the Vikings in 1016, but after their deaths the Danish Cnut the Great and his sons ruled until 1042. The House of Wessex then briefly regained power under Æthelred's son Edward the Confessor, but lost it after the Norman Conquest in 1066. All kings of England since Henry II have been descended from the House of Wessex through Henry I's wife Matilda of Scotland, who was a great-granddaughter of Edmund Ironside.
"
https://en.wikipedia.org/wiki/Alfred_the_Great,Alfred the Great - Wikipedia,"
"
https://en.wikipedia.org/wiki/Giric,Giric - Wikipedia,"
"
https://en.wikipedia.org/wiki/Causant%C3%ADn_mac_Cin%C3%A1eda,Causantín mac Cináeda - Wikipedia,"
"
https://en.wikipedia.org/wiki/%C3%81ed_mac_Cin%C3%A1eda,Áed mac Cináeda - Wikipedia,"
"
https://en.wikipedia.org/wiki/Rhun_ab_Arthgal,Rhun ab Arthgal - Wikipedia,"
"
https://en.wikipedia.org/wiki/Kingdom_of_Strathclyde,Kingdom of Strathclyde - Wikipedia,"
"
https://en.wikipedia.org/wiki/Edward_the_Elder,Edward the Elder - Wikipedia,
https://en.wikipedia.org/wiki/Donald_II_of_Scotland,Donald II of Scotland - Wikipedia,"
"
https://en.wikipedia.org/wiki/Constantine_II_of_Scotland,Constantine II of Scotland - Wikipedia,
https://en.wikipedia.org/wiki/Eochaid_(son_of_Rhun),Eochaid (son of Rhun) - Wikipedia,"
"
https://en.wikipedia.org/wiki/%C3%86thelstan,Æthelstan - Wikipedia,
https://en.wikipedia.org/wiki/Edmund_I,Edmund I - Wikipedia,
https://en.wikipedia.org/wiki/Eadred,Eadred - Wikipedia,
https://en.wikipedia.org/wiki/Malcolm_I_of_Scotland,Malcolm I of Scotland - Wikipedia,"
"
https://en.wikipedia.org/wiki/Indulf,Indulf - Wikipedia,"
"
https://en.wikipedia.org/wiki/Richard_I_of_Normandy,Richard I of Normandy - Wikipedia,"
"
https://en.wikipedia.org/wiki/Eadwig,Eadwig - Wikipedia,"
"
https://en.wikipedia.org/wiki/Edgar_the_Peaceful,Edgar the Peaceful - Wikipedia,"Edgar  (Old English: Ēadgār [ˈæːɑdɡɑːr]; c. 943 – 8 July 975), known as the Peaceful or the Peaceable,[1] was King of the English from 959 until his death in 975. The younger son of King Edmund I and Ælfgifu of Shaftesbury, he came to the throne as a teenager following the death of his older brother, King Eadwig.[1] As king, Edgar further consolidated the political unity achieved by his predecessors, with his reign being noted for its relative stability. His most trusted advisor was Dunstan, whom he recalled from exile and made Archbishop of Canterbury. The pinnacle of Edgar's reign was his coronation at Bath in 973, which was organised by Dunstan and forms the basis for the current coronation ceremony. After his death he was succeeded by his son Edward, although the succession was disputed.
"
"https://en.wikipedia.org/wiki/Dub,_King_of_Scotland","Dub, King of Scotland - Wikipedia","
"
https://en.wikipedia.org/wiki/Kenneth_II_of_Scotland,Kenneth II of Scotland - Wikipedia,"
"
"https://en.wikipedia.org/wiki/Amla%C3%ADb,_King_of_Scotland","Amlaíb, King of Scotland - Wikipedia","
"
https://en.wikipedia.org/wiki/Cuil%C3%A9n,Cuilén - Wikipedia,"
"
https://en.wikipedia.org/wiki/House_of_Kn%C3%BDtlinga,House of Knýtlinga - Wikipedia,"The Danish House of Knýtlinga (English: ""House of Cnut's Descendants"") was a ruling royal house in Middle Age Scandinavia and England. Its most famous king was Cnut the Great, who gave his name to this dynasty. Other notable members were Cnut's father Sweyn Forkbeard, grandfather Harald Bluetooth, and sons Harthacnut, Harold Harefoot, and Svein Knutsson. It has also been called the House of Canute, the House of Denmark, the House of Gorm, or the Jelling dynasty.
"
"https://en.wikipedia.org/wiki/Richard_II,_Duke_of_Normandy","Richard II, Duke of Normandy - Wikipedia","Richard II (died 28 August 1026), called the Good (French: Le Bon), was the duke of Normandy from 996 until 1026.
"
https://en.wikipedia.org/wiki/Sweyn_Forkbeard,Sweyn Forkbeard - Wikipedia,"
"
https://en.wikipedia.org/wiki/Kenneth_III_of_Scotland,Kenneth III of Scotland - Wikipedia,"
"
https://en.wikipedia.org/wiki/Malcolm_II_of_Scotland,Malcolm II of Scotland - Wikipedia,
https://en.wikipedia.org/wiki/Constantine_III_of_Scotland,Constantine III of Scotland - Wikipedia,"
"
https://en.wikipedia.org/wiki/Edward_the_Martyr,Edward the Martyr - Wikipedia,
https://en.wikipedia.org/wiki/%C3%86thelred_the_Unready,Æthelred the Unready - Wikipedia,"
"
https://en.wikipedia.org/wiki/Emma_of_Normandy,Emma of Normandy - Wikipedia,"
"
https://en.wikipedia.org/wiki/Cnut,Cnut - Wikipedia,"
"
https://en.wikipedia.org/wiki/Boite_mac_Cin%C3%A1eda,Boite mac Cináeda - Wikipedia,"
"
https://en.wikipedia.org/wiki/Beth%C3%B3c,Bethóc - Wikipedia,"
"
https://en.wikipedia.org/wiki/House_of_Moray,House of Moray - Wikipedia,"
"
https://en.wikipedia.org/wiki/House_of_Dunkeld,House of Dunkeld - Wikipedia,"
The House of Dunkeld (in Scottish Gaelic: Dùn Chailleann, lit. 'Fort of the Caledonii' or ""of the Caledonians"") is a historiographical and genealogical construct to illustrate the clear succession of Scottish kings from 1034 to 1040 and from 1058 to 1286. The line is also variously referred to by historians as ""The Canmores"" and ""MacMalcolm"".
"
"https://en.wikipedia.org/wiki/Robert_I,_Duke_of_Normandy","Robert I, Duke of Normandy - Wikipedia","
"
https://en.wikipedia.org/wiki/Edmund_Ironside,Edmund Ironside - Wikipedia,"
"
"https://en.wikipedia.org/wiki/Godwin,_Earl_of_Wessex","Godwin, Earl of Wessex - Wikipedia","
"
https://en.wikipedia.org/wiki/Edward_the_Confessor,Edward the Confessor - Wikipedia,"
"
https://en.wikipedia.org/wiki/Gruoch_of_Scotland,Gruoch - Wikipedia,"
"
"https://en.wikipedia.org/wiki/Macbeth,_King_of_Scotland","Macbeth, King of Scotland - Wikipedia",
https://en.wikipedia.org/wiki/Duncan_I_of_Scotland,Duncan I of Scotland - Wikipedia,"
"
https://en.wikipedia.org/wiki/Edward_the_Exile,Edward the Exile - Wikipedia,"
"
https://en.wikipedia.org/wiki/Edith_of_Wessex,Edith of Wessex - Wikipedia,"
"
https://en.wikipedia.org/wiki/Harold_Godwinson,Harold Godwinson - Wikipedia,
https://en.wikipedia.org/wiki/Harthacnut,Harthacnut - Wikipedia,"
"
https://en.wikipedia.org/wiki/Harold_Harefoot,Harold Harefoot - Wikipedia,"
"
https://en.wikipedia.org/wiki/Lulach,Lulach - Wikipedia,"
"
https://en.wikipedia.org/wiki/House_of_Normandy,House of Normandy - Wikipedia,"
"
https://en.wikipedia.org/wiki/William_the_Conqueror,William the Conqueror - Wikipedia,
https://en.wikipedia.org/wiki/Saint_Margaret_of_Scotland,Saint Margaret of Scotland - Wikipedia,"
"
https://en.wikipedia.org/wiki/Malcolm_III_of_Scotland,Malcolm III of Scotland - Wikipedia,
https://en.wikipedia.org/wiki/Donald_III_of_Scotland,Donald III of Scotland - Wikipedia,"
"
https://en.wikipedia.org/wiki/William_II_of_England,William II of England - Wikipedia,"
"
https://en.wikipedia.org/wiki/Adela_of_Normandy,Adela of Normandy - Wikipedia,"
"
https://en.wikipedia.org/wiki/Henry_I_of_England,Henry I of England - Wikipedia,
https://en.wikipedia.org/wiki/Matilda_of_Scotland,Matilda of Scotland - Wikipedia,"
"
"https://en.wikipedia.org/wiki/Edgar,_King_of_Scotland","Edgar, King of Scotland - Wikipedia","
"
https://en.wikipedia.org/wiki/Alexander_I_of_Scotland,Alexander I of Scotland - Wikipedia,"
"
https://en.wikipedia.org/wiki/David_I_of_Scotland,David I of Scotland - Wikipedia,
https://en.wikipedia.org/wiki/Duncan_II_of_Scotland,Duncan II of Scotland - Wikipedia,"
"
https://en.wikipedia.org/wiki/House_of_Blois,House of Blois - Wikipedia,"The House of Blois (French: [blwa]) is a lineage derived from the Frankish nobility, whose principal members were often named Theobald (Thibaud, Thibault, Thibaut in French).
"
https://en.wikipedia.org/wiki/House_of_Plantagenet,House of Plantagenet - Wikipedia,
"https://en.wikipedia.org/wiki/Stephen,_King_of_England","Stephen, King of England - Wikipedia",
https://en.wikipedia.org/wiki/Empress_Matilda,Empress Matilda - Wikipedia,
https://en.wikipedia.org/wiki/Henry_of_Scotland,Henry of Scotland - Wikipedia,"
"
https://en.wikipedia.org/wiki/Henry_II_of_England,Henry II of England - Wikipedia,
https://en.wikipedia.org/wiki/William_the_Lion,William the Lion - Wikipedia,"
"
https://en.wikipedia.org/wiki/Malcolm_IV_of_Scotland,Malcolm IV of Scotland - Wikipedia,"
"
"https://en.wikipedia.org/wiki/David,_Earl_of_Huntingdon","David, Earl of Huntingdon - Wikipedia","
"
"https://en.wikipedia.org/wiki/John,_King_of_England","John, King of England - Wikipedia",
https://en.wikipedia.org/wiki/Richard_I_of_England,Richard I of England - Wikipedia,
"https://en.wikipedia.org/wiki/Margaret_of_Huntingdon,_Lady_of_Galloway","Margaret of Huntingdon, Lady of Galloway - Wikipedia","
"
https://en.wikipedia.org/wiki/Isobel_of_Huntingdon,Isobel of Huntingdon - Wikipedia,"
"
"https://en.wikipedia.org/wiki/Walter_Stewart,_3rd_High_Steward_of_Scotland","Walter Stewart, 3rd High Steward of Scotland - Wikipedia","
"
https://en.wikipedia.org/wiki/Henry_III_of_England,Henry III of England - Wikipedia,
"https://en.wikipedia.org/wiki/Joan_of_England,_Queen_of_Scotland","Joan of England, Queen of Scotland - Wikipedia","
"
https://en.wikipedia.org/wiki/Alexander_II_of_Scotland,Alexander II of Scotland - Wikipedia,"
"
https://en.wikipedia.org/wiki/Dervorguilla_of_Galloway,Dervorguilla of Galloway - Wikipedia,"
"
"https://en.wikipedia.org/wiki/Robert_de_Brus,_5th_Lord_of_Annandale","Robert de Brus, 5th Lord of Annandale - Wikipedia","
"
"https://en.wikipedia.org/wiki/Alexander_Stewart,_4th_High_Steward_of_Scotland","Alexander Stewart, 4th High Steward of Scotland - Wikipedia","
"
https://en.wikipedia.org/wiki/House_of_Balliol,House of Balliol - Wikipedia,"
"
https://en.wikipedia.org/wiki/Edward_I_of_England,Edward I of England - Wikipedia,
https://en.wikipedia.org/wiki/Margaret_of_England,Margaret of England - Wikipedia,"
"
https://en.wikipedia.org/wiki/Alexander_III_of_Scotland,Alexander III of Scotland - Wikipedia,"
"
https://en.wikipedia.org/wiki/John_Balliol,John Balliol - Wikipedia,"
"
"https://en.wikipedia.org/wiki/Robert_de_Brus,_6th_Lord_of_Annandale","Robert de Brus, 6th Lord of Annandale - Wikipedia","
"
